Job,Name,DPS,Total Damage, Kill Time,Clear?,Report ID 
Samurai,Lothair Magnus,3119.38,1029604,330,Yes,G8x46fBQtzkAMhRb
Summoner,Rylai Cressfall,2547.82,840950,330,Yes,G8x46fBQtzkAMhRb
Warrior,Octavia Hardwoode,2272.63,750121,330,Yes,G8x46fBQtzkAMhRb
Machinist,Bakuretsu Onna,2256.23,744707,330,Yes,G8x46fBQtzkAMhRb
Warrior,Aggamarr Atroc,2080.56,686724,330,Yes,G8x46fBQtzkAMhRb
Warrior,Ba Dad,1805.52,595942,330,Yes,G8x46fBQtzkAMhRb
RedMage,Dionisio Parizzi,1634.3,539430,330,Yes,G8x46fBQtzkAMhRb
Machinist,Aiso J'fule,1461.85,482507,330,Yes,G8x46fBQtzkAMhRb
Gunbreaker,Cyrex Laq'ren,1386.23,457549,330,Yes,G8x46fBQtzkAMhRb
Machinist,Xeth Aru,1373.88,453473,330,Yes,G8x46fBQtzkAMhRb
Warrior,Lol Drg,1342.93,443257,330,Yes,G8x46fBQtzkAMhRb
Ninja,Palurien Meoi,1312.94,433358,330,Yes,G8x46fBQtzkAMhRb
Machinist,Alura Une,1261.87,416501,330,Yes,G8x46fBQtzkAMhRb
Paladin,Dash Ehhh,1108.24,365795,330,Yes,G8x46fBQtzkAMhRb
RedMage,Altani Starshaper,1101.77,363657,330,Yes,G8x46fBQtzkAMhRb
Astrologian,Putoni Kesutoni,1097.43,362225,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Noxia Nocturna,1031.81,340566,330,Yes,G8x46fBQtzkAMhRb
RedMage,Little Sword,1029.19,339703,330,Yes,G8x46fBQtzkAMhRb
Dancer,Kairi Knight',978.838,323082,330,Yes,G8x46fBQtzkAMhRb
Warrior,Clair Nakiri,958.621,316409,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Polar Frozenclaws,950.616,313767,330,Yes,G8x46fBQtzkAMhRb
Gunbreaker,Margulis Nakata,939.327,310041,330,Yes,G8x46fBQtzkAMhRb
Paladin,Lycan Wolf,930.587,307156,330,Yes,G8x46fBQtzkAMhRb
DarkKnight,Kiyomi Kirei,913.942,301662,330,Yes,G8x46fBQtzkAMhRb
Warrior,Bento Manjusaka,912.394,301151,330,Yes,G8x46fBQtzkAMhRb
Gunbreaker,Hanakoizumi An,897.921,296374,330,Yes,G8x46fBQtzkAMhRb
Monk,Stella Ar'tois,849.009,280230,330,Yes,G8x46fBQtzkAMhRb
RedMage,Dawn Goddess,828.008,273298,330,Yes,G8x46fBQtzkAMhRb
Machinist,Rykon Strife,805.93,266011,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Bear Lol,767.629,253369,330,Yes,G8x46fBQtzkAMhRb
Paladin,Karlona Saiyanlord,735.635,242809,330,Yes,G8x46fBQtzkAMhRb
Bard,Lu Doggy,720.969,237968,330,Yes,G8x46fBQtzkAMhRb
Gunbreaker,Cathulion Maverick,718.896,237284,330,Yes,G8x46fBQtzkAMhRb
Paladin,Stinky Lizard,686.173,226483,330,Yes,G8x46fBQtzkAMhRb
Bard,Neela Mitz'paw,613.794,202593,330,Yes,G8x46fBQtzkAMhRb
Astrologian,Annelise Sera,568.672,187700,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Majin Buub,473.322,156228,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Woo Wee,403.239,133096,330,Yes,G8x46fBQtzkAMhRb
DarkKnight,Freyja Veleda,402.576,132877,330,Yes,G8x46fBQtzkAMhRb
Summoner,Aaliyah Infearis,330.269,109011,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Kepopo Keepo,242.76,80127,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Rayn Dancer,226.633,74804,330,Yes,G8x46fBQtzkAMhRb
Scholar,Izayoi Ishikawa,144.84,47807,330,Yes,G8x46fBQtzkAMhRb
LimitBreak,Limit Break,120.827,39881,330,Yes,G8x46fBQtzkAMhRb
WhiteMage,Mystier Starchild,101.231,33413,330,Yes,G8x46fBQtzkAMhRb
Scholar,Platypi Lazy,0,0,330,Yes,G8x46fBQtzkAMhRb
