RedMage,Jaiyo Bot,Excalibur,1000027
Ninja,Miqael'a Miura,Ultros,1000034
Gunbreaker,Margulis Nakata,Exodus,1000020
Samurai,Kiyomi Kirei,Behemoth,1000015
WhiteMage,Mina Velkh,Behemoth,1000005
WhiteMage,Rytlockie Moonrunner,Hyperion,1000067
WhiteMage,Bear Lol,Leviathan,1000016
Bard,Fafa Leff,Famfrit,1000035
LimitBreak,Multiple Players,null,1000017
Paladin,Meepel Lardos,Excalibur,1000012
Astrologian,Dash Ehhh,Ultros,1000068
Dancer,White Wulf,Behemoth,1000018
Warrior,Kagu Tsuchi,Ultros,1000037
Summoner,Aaliyah Infearis,Famfrit,1000014
RedMage,L'eknif Tia,Hyperion,1000004
WhiteMage,Stinky Lizard,Hyperion,1000009
Monk,Bakuretsu Onna,Leviathan,1000006
WhiteMage,Annelise Sera,Famfrit,1000021
Machinist,Rykon Strife,Behemoth,1000010
Monk,Neela Mitz'paw,Famfrit,1000007
RedMage,Woo Wee,Ultros,1000028
Machinist,Mystier Starchild,Hyperion,1000011
Machinist,Alura Une,Hyperion,1000030
Scholar,Kira Longclaw,Excalibur,1000069
Warrior,Clair Nakiri,Lamia,1000031
DarkKnight,Freyja Veleda,Famfrit,1000002
WhiteMage,Polar Frozenclaws,Hyperion,1000029
Astrologian,Cyrex Laq'ren,Lamia,1000026
RedMage,Dionisio Parizzi,Ultros,1000033
LimitBreak,Ground Effect,null,1000041
Dancer,Grimcheeks Jaegerjack,Leviathan,1000023
Samurai,Somebody Else,Excalibur,1000019
Ninja,Palurien Meoi,Excalibur,1000003
Scholar,Crippling Debt,Exodus,1000022
RedMage,Garung Arung,Excalibur,1000066
LimitBreak,Limit Break,null,1000072
Samurai,Shadow Qwert,Lamia,1000008
Machinist,Bittersweet Memories,Leviathan,1000000
Warrior,Aggamarr Atroc,Exodus,1000025
WhiteMage,Noxia Nocturna,Excalibur,1000024
Warrior,Octavia Hardwoode,Exodus,1000013
Gunbreaker,Margulis Nakata,Excalibur,1000032
