Gunbreaker,Margulis Nakata,3075.06,1232291,401,Yes,RpMTtqHba38dQJzm
Gunbreaker,Margulis Nakata,3055.5,1224452,401,Yes,RpMTtqHba38dQJzm
Warrior,Octavia Hardwoode,3040.47,1218427,401,Yes,RpMTtqHba38dQJzm
Samurai,Somebody Else,2965.77,1188495,401,Yes,RpMTtqHba38dQJzm
Monk,Bakuretsu Onna,2638.11,1057190,401,Yes,RpMTtqHba38dQJzm
Samurai,Shadow Qwert,2463.92,987385,401,Yes,RpMTtqHba38dQJzm
Warrior,Aggamarr Atroc,2369.89,949704,401,Yes,RpMTtqHba38dQJzm
RedMage,Dionisio Parizzi,2359.47,945526,401,Yes,RpMTtqHba38dQJzm
Samurai,Kiyomi Kirei,2090.1,837581,401,Yes,RpMTtqHba38dQJzm
Bard,Fafa Leff,1674.63,671087,401,Yes,RpMTtqHba38dQJzm
RedMage,L'eknif Tia,1648.07,660442,401,Yes,RpMTtqHba38dQJzm
RedMage,Woo Wee,1589.67,637039,401,Yes,RpMTtqHba38dQJzm
Machinist,Alura Une,1512.52,606121,401,Yes,RpMTtqHba38dQJzm
Monk,Neela Mitz'paw,1504.99,603106,401,Yes,RpMTtqHba38dQJzm
Machinist,Bittersweet Memories,1419.36,568790,401,Yes,RpMTtqHba38dQJzm
DarkKnight,Freyja Veleda,1384.68,554894,401,Yes,RpMTtqHba38dQJzm
Ninja,Miqael'a Miura,1348.88,540545,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Noxia Nocturna,1036.8,415486,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Rytlockie Moonrunner,1033.56,414187,401,Yes,RpMTtqHba38dQJzm
Dancer,Grimcheeks Jaegerjack,987.865,395874,401,Yes,RpMTtqHba38dQJzm
Ninja,Palurien Meoi,986.647,395386,401,Yes,RpMTtqHba38dQJzm
Machinist,Mystier Starchild,921.407,369242,401,Yes,RpMTtqHba38dQJzm
RedMage,Jaiyo Bot,892.623,357707,401,Yes,RpMTtqHba38dQJzm
Warrior,Clair Nakiri,883.055,353873,401,Yes,RpMTtqHba38dQJzm
Warrior,Kagu Tsuchi,869.957,348624,401,Yes,RpMTtqHba38dQJzm
Machinist,Rykon Strife,738.287,295859,401,Yes,RpMTtqHba38dQJzm
Dancer,White Wulf,674.37,270245,401,Yes,RpMTtqHba38dQJzm
Astrologian,Dash Ehhh,640.847,256811,401,Yes,RpMTtqHba38dQJzm
Paladin,Meepel Lardos,606.715,243133,401,Yes,RpMTtqHba38dQJzm
Astrologian,Cyrex Laq'ren,531.863,213137,401,Yes,RpMTtqHba38dQJzm
Summoner,Aaliyah Infearis,517.04,207197,401,Yes,RpMTtqHba38dQJzm
RedMage,Garung Arung,453.999,181934,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Annelise Sera,279.657,112069,401,Yes,RpMTtqHba38dQJzm
Scholar,Crippling Debt,237.635,95229,401,Yes,RpMTtqHba38dQJzm
LimitBreak,Limit Break,191.011,76545,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Mina Velkh,134.103,53740,401,Yes,RpMTtqHba38dQJzm
Scholar,Kira Longclaw,133.836,53633,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Bear Lol,133.751,53599,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Stinky Lizard,57.3269,22973,401,Yes,RpMTtqHba38dQJzm
WhiteMage,Polar Frozenclaws,36.1334,14480,401,Yes,RpMTtqHba38dQJzm
