Samurai,Somebody Else,4382.67,1026583,234,Yes,RpMTtqHba38dQJzm
Samurai,Kiyomi Kirei,4043.96,947244,234,Yes,RpMTtqHba38dQJzm
Samurai,Shadow Qwert,3221.35,754560,234,Yes,RpMTtqHba38dQJzm
Monk,Bakuretsu Onna,3106.21,727590,234,Yes,RpMTtqHba38dQJzm
Warrior,Octavia Hardwoode,2522.37,590832,234,Yes,RpMTtqHba38dQJzm
Warrior,Aggamarr Atroc,2429.44,569064,234,Yes,RpMTtqHba38dQJzm
Red Mage,Dionisio Parizzi,2375.6,556453,234,Yes,RpMTtqHba38dQJzm
Monk,Neela Mitz'paw,2375.39,556405,234,Yes,RpMTtqHba38dQJzm
Machinist,Alura Une,2093,490258,234,Yes,RpMTtqHba38dQJzm
Red Mage,L'eknif Tia,1996.89,467746,234,Yes,RpMTtqHba38dQJzm
Gunbreaker,Margulis Nakata,1909.46,447266,234,Yes,RpMTtqHba38dQJzm
Red Mage,Woo Wee,1738.27,407167,234,Yes,RpMTtqHba38dQJzm
Bard,Fafa Leff,1732.59,405836,234,Yes,RpMTtqHba38dQJzm
Red Mage,Jaiyo Bot,1649.68,386416,234,Yes,RpMTtqHba38dQJzm
Machinist,Bittersweet Memories,1631.68,382199,234,Yes,RpMTtqHba38dQJzm
Ninja,Miqael'a Miura,1553.26,363831,234,Yes,RpMTtqHba38dQJzm
Ninja,Palurien Meoi,1363.09,319287,234,Yes,RpMTtqHba38dQJzm
Dancer,Grimcheeks Jaegerjack,1271.51,297835,234,Yes,RpMTtqHba38dQJzm
White Mage,Noxia Nocturna,1243.7,291320,234,Yes,RpMTtqHba38dQJzm
Gunbreaker,Margulis Nakata,1185.11,277596,234,Yes,RpMTtqHba38dQJzm
White Mage,Rytlockie Moonrunner,1164.65,272803,234,Yes,RpMTtqHba38dQJzm
Machinist,Mystier Starchild,1114.58,261076,234,Yes,RpMTtqHba38dQJzm
Warrior,Kagu Tsuchi,1093.72,256189,234,Yes,RpMTtqHba38dQJzm
Machinist,Rykon Strife,1057.15,247624,234,Yes,RpMTtqHba38dQJzm
Astrologian,Dash Ehhh,1054.22,246937,234,Yes,RpMTtqHba38dQJzm
Warrior,Clair Nakiri,897.279,210176,234,Yes,RpMTtqHba38dQJzm
Summoner,Aaliyah Infearis,781.209,182988,234,Yes,RpMTtqHba38dQJzm
Dark Knight,Freyja Veleda,780.803,182893,234,Yes,RpMTtqHba38dQJzm
Paladin,Meepel Lardos,746.312,174814,234,Yes,RpMTtqHba38dQJzm
Red Mage,Garung Arung,739.973,173329,234,Yes,RpMTtqHba38dQJzm
Dancer,White Wulf,726.717,170224,234,Yes,RpMTtqHba38dQJzm
White Mage,Bear Lol,713.944,167232,234,Yes,RpMTtqHba38dQJzm
Astrologian,Cyrex Laq'ren,638.802,149631,234,Yes,RpMTtqHba38dQJzm
White Mage,Annelise Sera,579.055,135636,234,Yes,RpMTtqHba38dQJzm
White Mage,Stinky Lizard,252.236,59083,234,Yes,RpMTtqHba38dQJzm
Scholar,Kira Longclaw,245.175,57429,234,Yes,RpMTtqHba38dQJzm
White Mage,Mina Velkh,198.261,46440,234,Yes,RpMTtqHba38dQJzm
Scholar,Crippling Debt,105.649,24747,234,Yes,RpMTtqHba38dQJzm
White Mage,Polar Frozenclaws,24.2276,5675,234,Yes,RpMTtqHba38dQJzm
