Job,Name,HPS,Total,Kill Time,Killed?,Report 
WhiteMage,Polar Frozenclaws,7314.94,1713430,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Bear Lol,4967.08,1163474,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Stinky Lizard,4236.46,992335,234,Yes,RpMTtqHba38dQJzm
Astrologian,Dash Ehhh,3753.98,879321,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Noxia Nocturna,3435.52,804725,234,Yes,RpMTtqHba38dQJzm
Astrologian,Cyrex Laq'ren,2833.13,663623,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Annelise Sera,2521.1,590536,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Mina Velkh,1666.3,390309,234,Yes,RpMTtqHba38dQJzm
Scholar,Crippling Debt,1620.88,379670,234,Yes,RpMTtqHba38dQJzm
Warrior,Aggamarr Atroc,1193.02,279450,234,Yes,RpMTtqHba38dQJzm
Warrior,Octavia Hardwoode,878.162,205698,234,Yes,RpMTtqHba38dQJzm
WhiteMage,Rytlockie Moonrunner,820.037,192083,234,Yes,RpMTtqHba38dQJzm
Samurai,Somebody Else,701.584,164337,234,Yes,RpMTtqHba38dQJzm
Gunbreaker,Margulis Nakata,697.251,163322,234,Yes,RpMTtqHba38dQJzm
Monk,Bakuretsu Onna,624.812,146354,234,Yes,RpMTtqHba38dQJzm
Warrior,Clair Nakiri,570.179,133557,234,Yes,RpMTtqHba38dQJzm
Samurai,Shadow Qwert,559.442,131042,234,Yes,RpMTtqHba38dQJzm
Samurai,Kiyomi Kirei,520.644,121954,234,Yes,RpMTtqHba38dQJzm
Paladin,Meepel Lardos,439.393,102922,234,Yes,RpMTtqHba38dQJzm
Scholar,Kira Longclaw,427.529,100143,234,Yes,RpMTtqHba38dQJzm
Gunbreaker,Margulis Nakata,387.906,90862,234,Yes,RpMTtqHba38dQJzm
Machinist,Bittersweet Memories,370.509,86787,234,Yes,RpMTtqHba38dQJzm
DarkKnight,Freyja Veleda,367.248,86023,234,Yes,RpMTtqHba38dQJzm
RedMage,Woo Wee,365.352,85579,234,Yes,RpMTtqHba38dQJzm
Monk,Neela Mitz'paw,362.838,84990,234,Yes,RpMTtqHba38dQJzm
Dancer,White Wulf,238.182,55791,234,Yes,RpMTtqHba38dQJzm
Warrior,Kagu Tsuchi,231.91,54322,234,Yes,RpMTtqHba38dQJzm
Dancer,Grimcheeks Jaegerjack,210.082,49209,234,Yes,RpMTtqHba38dQJzm
Machinist,Rykon Strife,185.329,43411,234,Yes,RpMTtqHba38dQJzm
Ninja,Palurien Meoi,181.099,42420,234,Yes,RpMTtqHba38dQJzm
RedMage,Garung Arung,150.715,35303,234,Yes,RpMTtqHba38dQJzm
RedMage,Jaiyo Bot,120.668,28265,234,Yes,RpMTtqHba38dQJzm
Bard,Fafa Leff,113.082,26488,234,Yes,RpMTtqHba38dQJzm
RedMage,Dionisio Parizzi,108.13,25328,234,Yes,RpMTtqHba38dQJzm
Machinist,Mystier Starchild,98.6949,23118,234,Yes,RpMTtqHba38dQJzm
Machinist,Alura Une,97.9137,22935,234,Yes,RpMTtqHba38dQJzm
Ninja,Miqael'a Miura,96.2572,22547,234,Yes,RpMTtqHba38dQJzm
RedMage,L'eknif Tia,53.6593,12569,234,Yes,RpMTtqHba38dQJzm
Summoner,Aaliyah Infearis,41.1037,9628,234,Yes,RpMTtqHba38dQJzm
