Job,Name,DPS,Total Damage
Samurai,Lothair Magnus,3119.38,1029604
Summoner,Rylai Cressfall,2547.82,840950
Warrior,Octavia Hardwoode,2272.63,750121
Machinist,Bakuretsu Onna,2256.23,744707
Warrior,Aggamarr Atroc,2080.56,686724
Warrior,Ba Dad,1805.52,595942
RedMage,Dionisio Parizzi,1634.3,539430
Machinist,Aiso J'fule,1461.85,482507
Gunbreaker,Cyrex Laq'ren,1386.23,457549
Machinist,Xeth Aru,1373.88,453473
Warrior,Lol Drg,1342.93,443257
Ninja,Palurien Meoi,1312.94,433358
Machinist,Alura Une,1261.87,416501
Paladin,Dash Ehhh,1108.24,365795
RedMage,Altani Starshaper,1101.77,363657
Astrologian,Putoni Kesutoni,1097.43,362225
WhiteMage,Noxia Nocturna,1031.81,340566
RedMage,Little Sword,1029.19,339703
Dancer,Kairi Knight',978.838,323082
Warrior,Clair Nakiri,958.621,316409
WhiteMage,Polar Frozenclaws,950.616,313767
Gunbreaker,Margulis Nakata,939.327,310041
Paladin,Lycan Wolf,930.587,307156
DarkKnight,Kiyomi Kirei,913.942,301662
Warrior,Bento Manjusaka,912.394,301151
Gunbreaker,Hanakoizumi An,897.921,296374
Monk,Stella Ar'tois,849.009,280230
RedMage,Dawn Goddess,828.008,273298
Machinist,Rykon Strife,805.93,266011
WhiteMage,Bear Lol,767.629,253369
Paladin,Karlona Saiyanlord,735.635,242809
Bard,Lu Doggy,720.969,237968
Gunbreaker,Cathulion Maverick,718.896,237284
Paladin,Stinky Lizard,686.173,226483
Bard,Neela Mitz'paw,613.794,202593
Astrologian,Annelise Sera,568.672,187700
WhiteMage,Majin Buub,473.322,156228
WhiteMage,Woo Wee,403.239,133096
DarkKnight,Freyja Veleda,402.576,132877
Summoner,Aaliyah Infearis,330.269,109011
WhiteMage,Kepopo Keepo,242.76,80127
WhiteMage,Rayn Dancer,226.633,74804
Scholar,Izayoi Ishikawa,144.84,47807
LimitBreak,Limit Break,120.827,39881
WhiteMage,Mystier Starchild,101.231,33413
Scholar,Platypi Lazy,0,0
